Method name,ori_input,ori_output,trans_input,trans_output,frontend_transformer,backend_checker,Holds
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 9 10 ],[1.6 0.6 0.4 1.8 2.0 ],T:IncludeMax+1InArrayCollection,C:ConstructRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 ],[1.6 0.6 0.4 ],T:ExlucdeMaxInArrayCollection,C:ConstructRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[16 6 4 18 ],[3.2 1.2 0.8 3.6 ],T:MultiplyConstant,C:ConstructRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[9 2 3 8 ],[1.8 0.4 0.6 1.6 ],T:ReverseArrayCollection,C:ConstructRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 9 2 3 ],[1.6 1.8 0.4 0.6 ],T:ShuffleArrayCollection,C:ConstructRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[-8 -3 -2 -9 ],[-1.6 -0.6 -0.4 -1.8 ],T:Negate,C:ConstructRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[83 18 11 102 ],[16.6 3.6 2.2 20.4 ],T:PolynomialTransformer,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 ],[1.6 0.6 0.4 ],T:ExlucdeMaxInArrayCollection,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[16 6 4 18 ],[3.2 1.2 0.8 3.6 ],T:MultiplyConstant,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[11 6 5 12 ],[2.2 1.2 1.0 2.4 ],T:AddConstant,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[-8 -3 -2 -9 ],[-1.6 -0.6 -0.4 -1.8 ],T:Negate,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 9 10 ],[1.6 0.6 0.4 1.8 2.0 ],T:IncludeMax+1InArrayCollection,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[9 2 3 8 ],[1.8 0.4 0.6 1.6 ],T:ReverseArrayCollection,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 2 9 3 ],[1.6 0.4 1.8 0.6 ],T:ShuffleArrayCollection,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[-8 -3 -2 -9 ],[-1.6 -0.6 -0.4 -1.8 ],T:Negate,C:Negatable,true
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 9 10 ],[1.6 0.6 0.4 1.8 2.0 ],T:IncludeMax+1InArrayCollection,C:Negatable,false
