Method name,ori_input,ori_output,trans_input,trans_output,frontend_transformer,backend_checker,Holds
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[-8 -3 -2 -9 ],[-3.0 -3.0 -2.0 -4.0 ],T:Negate,C:Shuffleable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[16 6 4 18 ],[1.0 1.0 4.0 3.0 ],T:MultiplyConstant,C:Shuffleable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 ],[3.0 3.0 2.0 ],T:ExlucdeMaxInArrayCollection,C:Shuffleable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[83 18 11 102 ],[3.0 3.0 1.0 2.0 ],T:PolynomialTransformer,C:Shuffleable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 9 10 ],[3.0 3.0 2.0 4.0 0.0 ],T:IncludeMax+1InArrayCollection,C:Shuffleable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 2 3 8 ],[4.0 2.0 3.0 3.0 ],T:ReverseArrayCollection,C:Shuffleable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[3 2 9 8 ],[3.0 2.0 4.0 3.0 ],T:ShuffleArrayCollection,C:Invertable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[11 6 5 12 ],[1.0 1.0 0.0 2.0 ],T:AddConstant,C:Invertable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[16 6 4 18 ],[1.0 1.0 4.0 3.0 ],T:MultiplyConstant,C:Invertable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[83 18 11 102 ],[3.0 3.0 1.0 2.0 ],T:PolynomialTransformer,C:Invertable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 2 3 8 ],[4.0 2.0 3.0 3.0 ],T:ReverseArrayCollection,C:Invertable,true
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 ],[3.0 3.0 2.0 ],T:ExlucdeMaxInArrayCollection,C:Invertable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 9 10 ],[3.0 3.0 2.0 4.0 0.0 ],T:IncludeMax+1InArrayCollection,C:Invertable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[-8 -3 -2 -9 ],[-3.0 -3.0 -2.0 -4.0 ],T:Negate,C:Invertable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[-8 -3 -2 -9 ],[-3.0 -3.0 -2.0 -4.0 ],T:Negate,C:Multiplicative,true
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 2 3 8 ],[4.0 2.0 3.0 3.0 ],T:ReverseArrayCollection,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[11 6 5 12 ],[1.0 1.0 0.0 2.0 ],T:AddConstant,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 9 10 ],[3.0 3.0 2.0 4.0 0.0 ],T:IncludeMax+1InArrayCollection,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[2 9 8 3 ],[2.0 4.0 3.0 3.0 ],T:ShuffleArrayCollection,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 ],[3.0 3.0 2.0 ],T:ExlucdeMaxInArrayCollection,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[16 6 4 18 ],[1.0 1.0 4.0 3.0 ],T:MultiplyConstant,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[83 18 11 102 ],[3.0 3.0 1.0 2.0 ],T:PolynomialTransformer,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 2 3 8 ],[4.0 2.0 3.0 3.0 ],T:ReverseArrayCollection,C:InclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[83 18 11 102 ],[3.0 3.0 1.0 2.0 ],T:PolynomialTransformer,C:InclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[11 6 5 12 ],[1.0 1.0 0.0 2.0 ],T:AddConstant,C:InclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 9 10 ],[3.0 3.0 2.0 4.0 0.0 ],T:IncludeMax+1InArrayCollection,C:InclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[16 6 4 18 ],[1.0 1.0 4.0 3.0 ],T:MultiplyConstant,C:InclusiveByMax,false
