Method name,ori_input,ori_output,trans_input,trans_output,frontend_transformer,backend_checker,Holds
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[16 6 4 18 ],[21.0 11.0 9.0 23.0 ],T:MultiplyConstant,C:Negatable,false
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[-8 -3 -2 -9 ],[-3.0 2.0 3.0 -4.0 ],T:Negate,C:Negatable,false
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[11 6 5 12 ],[16.0 11.0 10.0 17.0 ],T:AddConstant,C:Negatable,false
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[9 2 3 8 ],[14.0 7.0 8.0 13.0 ],T:ReverseArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[83 18 11 102 ],[88.0 23.0 16.0 107.0 ],T:PolynomialTransformer,C:Negatable,false
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[8 2 3 9 ],[13.0 7.0 8.0 14.0 ],T:ShuffleArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[8 3 2 9 10 ],[13.0 8.0 7.0 14.0 15.0 ],T:IncludeMax+1InArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[8 3 2 ],[13.0 8.0 7.0 ],T:ExlucdeMaxInArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[8 3 2 ],[13.0 8.0 7.0 ],T:ExlucdeMaxInArrayCollection,C:DirectRelationChecker,false
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[83 18 11 102 ],[88.0 23.0 16.0 107.0 ],T:PolynomialTransformer,C:DirectRelationChecker,true
arrayDiv,[8 3 2 9 ],[13.0 8.0 7.0 14.0 ],[-8 -3 -2 -9 ],[-3.0 2.0 3.0 -4.0 ],T:Negate,C:DirectRelationChecker,true
